date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1964_Q4	-2.10	0.43	3.84	2.53	-0.08		-0.08	0.32	-2.46	0.79	-3.25	2.87	0.19	-0.13	-3.00	1.42	0.64	-1.55	-3.64
1965_Q1	6.81	11.71	4.46	4.90	-0.15		-0.15	0.32	7.05	1.56	5.49	1.53	0.20	8.28	6.75	2.12	1.42	6.16	5.33
1965_Q2	0.37	5.55	4.72	5.18	-0.13		-0.13	0.32	0.61	2.18	-1.58	2.97	0.20	3.00	0.03	2.74	2.05	0.26	-2.02
1965_Q3	9.28	8.59	4.82	-0.69	-0.12		-0.12	0.32	7.61	2.23	5.37	2.33	0.20	9.48	7.14	2.82	2.09	6.66	5.06
1965_Q4	6.36	10.50	4.87	4.14	-0.10		-0.10	0.32	6.20	1.54	4.65	4.51	0.20	9.81	5.30	2.11	1.40	7.71	3.89
1966_Q1	7.13	11.08	5.69	3.95	-0.08		-0.08	0.31	6.64	0.29	6.35	3.26	0.20	9.24	5.98	0.68	0.19	8.56	5.79
1966_Q2	-2.37	0.47	6.07	2.85	0.03		0.03	0.31	-3.40	-1.11	-2.30	2.83	0.20	-1.14	-3.97	-1.07	-1.12	-0.06	-2.85
1966_Q3	0.63	1.40	6.04	0.77	0.15		0.15	0.31	-1.11	-2.19	1.08	2.36	0.20	0.77	-1.59	-2.66	-2.08	3.43	0.49
1966_Q4	3.32	2.42	6.41	-0.90	0.26		0.26	0.31	0.87	-2.67	3.55	1.57	0.20	2.13	0.56	-3.64	-2.43	5.77	2.99
1967_Q1	3.66	3.42	6.38	-0.24	0.37		0.37	0.31	1.35	-2.50	3.85	1.07	0.19	2.21	1.14	-3.81	-2.19	6.02	3.33
1967_Q2	3.28	-0.69	4.98	-3.98	0.15		0.15	0.31	0.41	-1.81	2.22	0.07	0.20	0.47	0.40	-3.18	-1.47	3.65	1.87
1967_Q3	0.22	2.67	4.99	2.46	-0.07		-0.07	0.31	-0.51	-0.90	0.38	-0.01	0.20	-0.52	-0.51	-1.96	-0.64	1.44	0.13
1967_Q4	1.03	2.85	4.37	1.82	-0.30		-0.30	0.31	0.45	0.05	0.40	0.19	0.20	0.60	0.42	-0.42	0.16	1.03	0.25
1968_Q1	8.64	8.99	4.39	0.35	-0.52		-0.52	0.31	7.77	0.88	6.89	2.82	0.20	10.02	7.20	1.12	0.81	8.90	6.38
1968_Q2	4.18	7.26	4.99	3.08	-0.28		-0.28	0.30	3.79	1.50	2.29	2.17	0.20	5.53	3.36	2.40	1.28	3.13	2.09
1968_Q3	0.23	2.45	4.24	2.21	-0.03		-0.03	0.30	-0.35	1.79	-2.14	-0.53	0.20	-0.78	-0.24	3.15	1.44	-3.92	-1.69
1968_Q4	-0.58	1.76	4.32	2.34	0.22		0.22	0.30	-1.32	1.65	-2.97	1.99	0.21	0.26	-1.72	3.13	1.27	-2.87	-2.99
1969_Q1	1.24	6.94	4.74	5.70	0.46		0.46	0.29	1.20	1.00	0.20	2.83	0.21	3.44	0.61	2.26	0.67	1.18	-0.05
1969_Q2	-0.39	0.45	4.75	0.83	0.52		0.52	0.29	-1.89	-0.10	-1.79	3.38	0.21	0.79	-2.59	0.63	-0.29	0.16	-2.30
1969_Q3	1.19	2.37	4.80	1.17	0.58		0.58	0.29	-0.27	-1.46	1.19	2.10	0.20	1.40	-0.70	-1.44	-1.46	2.84	0.77
1969_Q4	-0.99	-2.94	4.54	-1.95	0.65		0.65	0.29	-3.32	-2.65	-0.67	2.04	0.20	-1.69	-3.73	-3.40	-2.46	1.71	-1.27
1970_Q1	1.73	-0.38	4.21	-2.10	0.71		0.71	0.29	-0.60	-3.23	2.64	1.84	0.20	0.87	-0.96	-4.66	-2.88	5.53	1.91
1970_Q2	4.81	0.88	4.39	-3.93	0.36		0.36	0.29	2.15	-2.83	4.98	3.52	0.20	4.97	1.45	-4.79	-2.34	9.76	3.78
1970_Q3	6.81	4.13	4.38	-2.67	0.02		0.02	0.29	4.75	-1.69	6.44	-0.67	0.20	4.21	4.88	-3.72	-1.19	7.93	6.07
1970_Q4	-2.30	-6.15	3.90	-3.85	-0.32		-0.32	0.29	-4.33	-0.07	-4.26	-0.92	0.19	-5.07	-4.16	-1.72	0.32	-3.35	-4.48
1971_Q1	11.49	13.42	4.25	1.93	-0.66		-0.66	0.29	11.28	1.51	9.76	-0.86	0.20	10.58	11.45	0.62	1.73	9.96	9.71
1971_Q2	0.32	2.67	3.84	2.35	-0.41		-0.41	0.30	0.17	2.49	-2.33	2.88	0.20	2.47	-0.40	2.71	2.44	-0.24	-2.85
1971_Q3	4.62	3.53	3.80	-1.09	-0.16		-0.16	0.30	3.27	2.80	0.47	4.95	0.20	7.24	2.28	4.10	2.47	3.13	-0.19
1971_Q4	-3.21	0.84	3.06	4.05	0.10		0.10	0.30	-2.98	2.52	-5.49	4.58	0.20	0.66	-3.92	4.70	1.95	-4.04	-5.87
1972_Q1	3.55	8.86	3.25	5.31	0.35		0.35	0.30	3.92	2.04	1.89	2.95	0.21	6.27	3.32	4.68	1.36	1.59	1.96
1972_Q2	9.88	11.86	4.10	1.98	0.11		0.11	0.30	9.17	1.76	7.41	-0.38	0.20	8.86	9.24	4.33	1.10	4.54	8.14
1972_Q3	1.21	4.29	4.30	3.07	-0.12		-0.12	0.30	0.93	1.84	-0.91	2.11	0.21	2.61	0.50	3.85	1.32	-1.25	-0.82
1972_Q4	4.09	7.69	4.59	3.60	-0.36		-0.36	0.30	4.05	2.13	1.91	6.10	0.21	8.86	2.76	3.25	1.83	5.60	0.92
